Date : 2024-10-21 20:48:30
Directory : c:\Users\Chris Milner\Dev\Code\Flutter\unearthed
Total : 155 files,  12655 codes, 1454 comments, 1285 blanks, all 15394 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\debug\AndroidManifest.xml                     | XML        |         50 |          6 |          0 |         56 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\google-services.json                          | JSON       |         47 |          0 |          0 |         47 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\main\AndroidManifest.xml                      | XML        |         50 |          6 |          0 |         56 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\main\res\values\strings.xml                   | XML        |          4 |          0 |          0 |          4 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\profile\AndroidManifest.xml                   | XML        |         50 |          6 |          0 |         56 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\build.gradle                                          | Groovy     |         28 |          2 |          8 |         38 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\settings.gradle                                       | Groovy     |         25 |          2 |          6 |         33 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\devtools_options.yaml                                         | YAML       |          3 |          0 |          1 |          4 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\firebase.json                                                 | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\ios\Podfile                                                   | Ruby       |         32 |          3 |         10 |         45 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\firebase_options.dart                                     | Dart       |         55 |         12 |          4 |         71 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\globals.dart                                              | Dart       |          4 |          0 |          4 |          8 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\main.dart                                                 | Dart       |         31 |          5 |          4 |         40 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\models\filter.dart                                        | Dart       |         79 |          0 |         11 |         90 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\models\fitting_renter.dart                                | Dart       |         40 |          4 |         11 |         55 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\models\item.dart                                          | Dart       |        206 |          4 |         15 |        225 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\models\item_renter.dart                                   | Dart       |         48 |         13 |         11 |         72 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\models\renter.dart                                        | Dart       |         56 |          4 |         11 |         71 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\authenticate\authenticate.dart                    | Dart       |         25 |          0 |          5 |         30 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\authenticate\register.dart                        | Dart       |        158 |         40 |         10 |        208 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\authenticate\register_name.dart                   | Dart       |        130 |         39 |          9 |        178 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\authenticate\register_password.dart               | Dart       |        327 |         47 |         16 |        390 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\authenticate\sign_in.dart                         | Dart       |        266 |         99 |         12 |        377 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\browse.dart                                | Dart       |         43 |          2 |          3 |         48 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\category_list_view.dart                    | Dart       |        140 |          9 |          6 |        155 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\designer_item_card.dart                    | Dart       |        144 |         17 |         22 |        183 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\designer_list_view.dart                    | Dart       |         39 |          0 |          3 |         42 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\occasion_grid_tile.dart                    | Dart       |         32 |          3 |          6 |         41 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\occasion_grid_view.dart                    | Dart       |         39 |          5 |          4 |         48 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\style_items.dart                           | Dart       |         90 |         13 |         14 |        117 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\style_list_view.dart                       | Dart       |        142 |          8 |          8 |        158 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\favourites\favourites.dart                        | Dart       |         81 |         11 |         11 |        103 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\fitting\booking_calendar.dart                     | Dart       |         79 |         11 |         13 |        103 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\fitting\fitting.dart                              | Dart       |        202 |         20 |         26 |        248 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\fitting\fitting_summary.dart                      | Dart       |         65 |          0 |          6 |         71 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\help_centre\accordion-example.dart                | Dart       |        396 |          2 |          9 |        407 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\help_centre\faq_accordion.dart                    | Dart       |         81 |          3 |         15 |         99 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\help_centre\faqs.dart                             | Dart       |         47 |         14 |          2 |         63 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\help_centre\how_it_works.dart                     | Dart       |        337 |         23 |          6 |        366 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\help_centre\sizing_guide.dart                     | Dart       |        357 |         15 |          6 |        378 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\help_centre\who_are_we.dart                       | Dart       |        217 |         22 |          6 |        245 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\all_items_home_widget.dart                   | Dart       |         51 |          6 |          5 |         62 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\fitting_home_widget.dart                     | Dart       |         46 |          6 |          3 |         55 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\home.dart                                    | Dart       |        174 |         21 |         13 |        208 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\home_page_bottom_card.dart                   | Dart       |         25 |          3 |          3 |         31 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\new_arrivals_carousel.dart                   | Dart       |         40 |          1 |          5 |         46 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\offer_home_widget.dart                       | Dart       |         12 |          4 |          4 |         20 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\rentals_home_widget.dart                     | Dart       |         51 |          6 |          5 |         62 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\to_buy_home_widget.dart                      | Dart       |         51 |          6 |          5 |         62 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home_page.dart                                    | Dart       |         88 |         13 |         13 |        114 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\admin.dart                                | Dart       |         43 |          8 |          4 |         55 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\country_selector.dart                     | Dart       |         67 |          3 |          6 |         76 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_account.dart                           | Dart       |        220 |         94 |         27 |        341 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_fittings.dart                          | Dart       |         39 |          9 |          3 |         51 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_fittings_image_widget.dart             | Dart       |        120 |          5 |          8 |        133 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_history_fittings_image_widget.dart     | Dart       |        100 |          1 |          9 |        110 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_history_fittings_list.dart             | Dart       |         50 |          6 |         10 |         66 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_purchases_admin_list.dart              | Dart       |         52 |         11 |         10 |         73 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_purchases_list.dart                    | Dart       |         49 |         11 |         10 |         70 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_rentals_admin_list.dart                | Dart       |         51 |         10 |         10 |         71 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_rentals_list.dart                      | Dart       |         52 |          5 |         10 |         67 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_transactions.dart                      | Dart       |         39 |          9 |          3 |         51 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_transactions_admin_image_widget.dart   | Dart       |        168 |          2 |          9 |        179 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_transactions_image_widget.dart         | Dart       |        156 |          1 |          9 |        166 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_upcoming_fittings_list.dart            | Dart       |         52 |          6 |         10 |         68 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\profile copy.dart                         | Dart       |         88 |         20 |         16 |        124 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\profile.dart                              | Dart       |         85 |         20 |         16 |        121 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\profile_landing.dart                      | Dart       |        413 |         21 |         20 |        454 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\settings.dart                             | Dart       |        328 |         14 |         16 |        358 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\sign_up\config.dart                               | Dart       |         10 |          0 |          4 |         14 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\sign_up\facebook_sign_in.dart                     | Dart       |        158 |          0 |         20 |        178 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\sign_up\fb_login.dart                             | Dart       |         14 |          2 |          7 |         23 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\sign_up\google_sign_in.dart                       | Dart       |        236 |         21 |         19 |        276 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\sign_up\login_page.dart                           | Dart       |         32 |         52 |          5 |         89 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\summary\delivery_radio_widget.dart                | Dart       |         71 |          1 |         11 |         83 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\summary\purchase_price_summary.dart               | Dart       |         53 |          0 |          3 |         56 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\summary\rental_price_summary.dart                 | Dart       |         55 |          0 |          4 |         59 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\summary\summary_image_widget.dart                 | Dart       |         58 |         12 |          7 |         77 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\summary\summary_purchase.dart                     | Dart       |        201 |         64 |         17 |        282 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\summary\summary_rental.dart                       | Dart       |        262 |         22 |         14 |        298 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\to_rent\confirm_rent-old.dart                     | Dart       |         22 |          1 |          5 |         28 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\to_rent\item_widget.dart                          | Dart       |         29 |          5 |         12 |         46 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\to_rent\rent_this_with_date_selecter.dart         | Dart       |        345 |        105 |         28 |        478 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\to_rent\to_rent.dart                              | Dart       |        304 |         41 |         34 |        379 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\services\auth.dart                                        | Dart       |         61 |          9 |         11 |         81 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\services\class_store.dart                                 | Dart       |        254 |         21 |         27 |        302 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\services\firestore_service.dart                           | Dart       |         99 |          9 |         16 |        124 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\booked_html_template.dart                          | Dart       |         25 |          0 |          0 |         25 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\bottom_navbar_buttons.dart                         | Dart       |          0 |          0 |          1 |          1 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\constants.dart                                     | Dart       |         12 |          0 |          1 |         13 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\filters_page.dart                                  | Dart       |        582 |         29 |         31 |        642 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\get_country_price.dart                             | Dart       |         26 |          3 |          7 |         36 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\get_current_user.dart                              | Dart       |         14 |          3 |          3 |         20 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\html_template.dart                                 | Dart       |         26 |          0 |          0 |         26 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\item_card.dart                                     | Dart       |        241 |         14 |         31 |        286 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\item_results.dart                                  | Dart       |        284 |          6 |         20 |        310 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\line.dart                                          | Dart       |         21 |          9 |          5 |         35 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\loading.dart                                       | Dart       |         16 |          0 |          2 |         18 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\no_items_found.dart                                | Dart       |         20 |          6 |          5 |         31 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\secure_repo.dart                                   | Dart       |         11 |          0 |          4 |         15 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\send_email.dart                                    | Dart       |        114 |          6 |         17 |        137 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\send_email2.dart                                   | Dart       |         60 |          9 |         16 |         85 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\send_line.dart                                     | Dart       |         42 |          0 |          4 |         46 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\send_sms.dart                                      | Dart       |         19 |          2 |          5 |         26 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\send_whatsapp.dart                                 | Dart       |         42 |          0 |          5 |         47 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\sms.dart                                           | Dart       |         44 |          0 |          7 |         51 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\styled_text.dart                                   | Dart       |        118 |          0 |         24 |        142 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\whatsapp copy.dart                                 | Dart       |         18 |          3 |          5 |         26 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\shared\whatsapp.dart                                      | Dart       |         18 |          3 |          5 |         26 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\theme.dart                                                | Dart       |         61 |          5 |          7 |         73 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\linux\flutter\generated_plugin_registrant.cc                  | C++        |         11 |          4 |          5 |         20 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\linux\main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\linux\my_application.cc                                       | C++        |         74 |         11 |         20 |        105 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\linux\my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |         20 |          3 |          4 |         27 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\Podfile                                                 | Ruby       |         33 |          1 |         10 |         44 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\Runner\AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\pubspec.yaml                                                  | YAML       |         71 |          2 |          8 |         81 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\web\index.html                                                | HTML       |         38 |         16 |          6 |         60 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\windows\flutter\generated_plugin_registrant.cc                | C++        |         18 |          4 |          5 |         27 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\windows\runner\flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
