Date : 2024-10-21 20:48:30
Directory : c:\Users\Chris Milner\Dev\Code\Flutter\unearthed
Total : 155 files,  12655 codes, 1454 comments, 1285 blanks, all 15394 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        100 |     10,744 |      1,230 |      1,000 |     12,974 |
| XML        |         12 |        587 |         56 |         10 |        653 |
| C++        |         16 |        554 |        121 |        182 |        857 |
| JSON       |          8 |        389 |          0 |          4 |        393 |
| Groovy     |          3 |        124 |         18 |         27 |        169 |
| YAML       |          3 |         75 |          2 |         10 |         87 |
| Swift      |          6 |         66 |          7 |         20 |         93 |
| Ruby       |          2 |         65 |          4 |         20 |         89 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| Markdown   |          2 |          5 |          0 |          4 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        155 |     12,655 |      1,454 |      1,285 |     15,394 |
| . (Files)                                                                                                      |          5 |         78 |          2 |         12 |         92 |
| android                                                                                                        |         17 |        455 |         72 |         36 |        563 |
| android (Files)                                                                                                |          3 |         56 |          4 |         15 |         75 |
| android\app                                                                                                    |         13 |        394 |         68 |         20 |        482 |
| android\app (Files)                                                                                            |          3 |        164 |         14 |         13 |        191 |
| android\app\src                                                                                                |         10 |        230 |         54 |          7 |        291 |
| android\app\src (Files)                                                                                        |          1 |         47 |          0 |          0 |         47 |
| android\app\src\debug                                                                                          |          2 |         53 |         10 |          1 |         64 |
| android\app\src\main                                                                                           |          6 |         80 |         38 |          6 |        124 |
| android\app\src\main (Files)                                                                                   |          1 |         50 |          6 |          0 |         56 |
| android\app\src\main\res                                                                                       |          5 |         30 |         32 |          6 |         68 |
| android\app\src\main\res\drawable                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                          |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                |          2 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                        |          1 |         50 |          6 |          0 |         56 |
| android\gradle                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                         |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                            |          9 |        261 |          7 |         23 |        291 |
| ios (Files)                                                                                                    |          1 |         32 |          3 |         10 |         45 |
| ios\Runner                                                                                                     |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                             |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                          |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                            |        100 |     10,744 |      1,230 |      1,000 |     12,974 |
| lib (Files)                                                                                                    |          4 |        151 |         22 |         19 |        192 |
| lib\models                                                                                                     |          5 |        429 |         25 |         59 |        513 |
| lib\screens                                                                                                    |         66 |      7,997 |      1,051 |        670 |      9,718 |
| lib\screens (Files)                                                                                            |          1 |         88 |         13 |         13 |        114 |
| lib\screens\authenticate                                                                                       |          5 |        906 |        225 |         52 |      1,183 |
| lib\screens\browse                                                                                             |          8 |        669 |         57 |         66 |        792 |
| lib\screens\favourites                                                                                         |          1 |         81 |         11 |         11 |        103 |
| lib\screens\fitting                                                                                            |          3 |        346 |         31 |         45 |        422 |
| lib\screens\help_centre                                                                                        |          6 |      1,435 |         79 |         44 |      1,558 |
| lib\screens\home                                                                                               |          8 |        450 |         53 |         43 |        546 |
| lib\screens\profile                                                                                            |         19 |      2,172 |        256 |        206 |      2,634 |
| lib\screens\sign_up                                                                                            |          5 |        450 |         75 |         55 |        580 |
| lib\screens\summary                                                                                            |          6 |        700 |         99 |         56 |        855 |
| lib\screens\to_rent                                                                                            |          4 |        700 |        152 |         79 |        931 |
| lib\services                                                                                                   |          3 |        414 |         39 |         54 |        507 |
| lib\shared                                                                                                     |         22 |      1,753 |         93 |        198 |      2,044 |
| linux                                                                                                          |          5 |        102 |         27 |         38 |        167 |
| linux (Files)                                                                                                  |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                  |          2 |         16 |          9 |         11 |         36 |
| macos                                                                                                          |          7 |        491 |          6 |         26 |        523 |
| macos (Files)                                                                                                  |          1 |         33 |          1 |         10 |         44 |
| macos\Flutter                                                                                                  |          1 |         20 |          3 |          4 |         27 |
| macos\Runner                                                                                                   |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                           |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                              |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                   |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                        |          1 |        343 |          0 |          1 |        344 |
| web                                                                                                            |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                        |         10 |        451 |         94 |        143 |        688 |
| windows\flutter                                                                                                |          2 |         23 |          9 |         11 |         43 |
| windows\runner                                                                                                 |          8 |        428 |         85 |        132 |        645 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\README.md                                                     | Markdown   |          2 |          0 |          2 |          4 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\analysis_options.yaml                                         | YAML       |          1 |          0 |          1 |          2 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\build.gradle                                      | Groovy     |         71 |         14 |         13 |         98 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\google-services-old.json                          | JSON       |         46 |          0 |          0 |         46 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\google-services.json                              | JSON       |         47 |          0 |          0 |         47 |
| c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\debug\AndroidManifest-old.xml                 | XML        |          3 |          4 |          1 |          8 |
